Input.image_url,Instruction Category,Image,Dense Caption,instruction,GPT4 Output,GPT4 Input
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/318_tested_skill_art_knowledge_starry-night-1093721_1280.png,Art knowledge,,"This image shows the oil-painting Starry Night by Vincent Van Gogh. It depicts a tall brown spire against a background night sky with swirling blue and yellow hues. A bright yellow and orange crescent moon is visible in the top right corner. A night-time cityscape is visible along the bottom of the painting with yellow windows depicting houses with their lights on, and the yellow starlight reflecting off of their darkened roofs.","What is the name of this paining and the artist who painted it, and what inspired this artist to create such a piece?","The painting is called ""Starry Night"" and was painted by Vincent Van Gogh. The artist was inspired by the night sky and the cityscape he observed during his stay at the Saint-Paul-de-Mausole asylum in Saint-Rémy-de-Provence, France.","Consider an image depicted by: ""This image shows the oil-painting Starry Night by Vincent Van Gogh. It depicts a tall brown spire against a background night sky with swirling blue and yellow hues. A bright yellow and orange crescent moon is visible in the top right corner. A night-time cityscape is visible along the bottom of the painting with yellow windows depicting houses with their lights on, and the yellow starlight reflecting off of their darkened roofs."". 
Now, answer the following question concisely: ""What is the name of this paining and the artist who painted it, and what inspired this artist to create such a piece?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/334_tested_skill_building_materials_800px-Arba_domo_en_la_parko_de_la_Chateau.png,Building materials,,"An elaborate wooden treehouse is shown built between branches of a large tree. The treehouse has a staircase, ladders, windows, and multiple rooms that expand throughout the wide, mature branches.",What materials would you beed to build this object. What are the best trees to support this structure?,"To build this treehouse, you would need materials such as wood, nails, screws, brackets, ropes, and tools like a hammer, saw, and drill. The best trees to support this structure are large, mature trees like oak, maple, or beech with strong, wide branches.","Consider an image depicted by: ""An elaborate wooden treehouse is shown built between branches of a large tree. The treehouse has a staircase, ladders, windows, and multiple rooms that expand throughout the wide, mature branches."". 
Now, answer the following question concisely: ""What materials would you beed to build this object. What are the best trees to support this structure?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/350_tested_skill_recognition_50394277433_db2f922fdb_b.png,Recognition,,"This is an incredibly breath-taking image of the Badlands in South Dakota, with a the sky having a red tint from the brightly shining yellow sun casting rays across the clouds over the peaks of the valleys below, peaking up through dense green summer vegetation growth.","What historical American site is this national park, and which state can it be found in?","The historical American site is the Badlands National Park, and it can be found in South Dakota.","Consider an image depicted by: ""This is an incredibly breath-taking image of the Badlands in South Dakota, with a the sky having a red tint from the brightly shining yellow sun casting rays across the clouds over the peaks of the valleys below, peaking up through dense green summer vegetation growth."". 
Now, answer the following question concisely: ""What historical American site is this national park, and which state can it be found in?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/353_tested_skill_recognition_Washington_Monument_in_2017.png,Recognition,,"The Washington Monument is photographed against a bright blue sky. The surrounding Washington D.C. buildings are visible near the bottom of the monument, along with several American flags.",What and where is this?,"This is the Washington Monument in Washington D.C., photographed against a bright blue sky with surrounding buildings and American flags near its base.","Consider an image depicted by: ""The Washington Monument is photographed against a bright blue sky. The surrounding Washington D.C. buildings are visible near the bottom of the monument, along with several American flags."". 
Now, answer the following question concisely: ""What and where is this?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/358_tested_skill_recognition_27633786304_10c9e50bef_b.png,Recognition,,"Under a grey cloudy sky, a the end of a stone path flanked on either side by short-cropped grass, is the impressive stone tower known as the Glastonbury Tor.","What's the name of this structure, and for what purpose was it built?  What other places of interest are nearby?","The structure is called Glastonbury Tor, and its original purpose remains uncertain, though it has been associated with various religious and mythological legends. Nearby places of interest include Glastonbury Abbey, Chalice Well, and the town of Glastonbury itself.","Consider an image depicted by: ""Under a grey cloudy sky, a the end of a stone path flanked on either side by short-cropped grass, is the impressive stone tower known as the Glastonbury Tor."". 
Now, answer the following question concisely: ""What's the name of this structure, and for what purpose was it built?  What other places of interest are nearby?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/362_tested_skill_location_understanding_2900276942_1ac3428dbb_b.png,Location Understanding,,"A classroom is shown. There are many educational posters on the walls. Three long tables are arranged in the center of the room with chairs around them. There are sinks and cabinetry visible. The bright florescent lighting, shiny floors, and extra counterspace imply that this could be a lab-type classroom environment.",What are some items people are likely to have with them when they come to this room?,"People are likely to have notebooks, pens, textbooks, lab coats, safety goggles, and scientific equipment when they come to this room.","Consider an image depicted by: ""A classroom is shown. There are many educational posters on the walls. Three long tables are arranged in the center of the room with chairs around them. There are sinks and cabinetry visible. The bright florescent lighting, shiny floors, and extra counterspace imply that this could be a lab-type classroom environment."". 
Now, answer the following question concisely: ""What are some items people are likely to have with them when they come to this room?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/372_tested_skill_history_knowledge_Bundesarchiv_Bild.png,History Knowledge,,"This is a black and white image showing the destruction of the German city of Dresden in February, 1945 after the Allied bombing. Whole swathes of buildings are completely demolished, with rubble piled high throughout.","Who caused this destruction and why?  Were the people living here at the time participants in a war, or victims?","The destruction was caused by the Allied bombing during World War II in February 1945. The people living in Dresden were both participants in the war, as it was a German city, and victims of the bombing.","Consider an image depicted by: ""This is a black and white image showing the destruction of the German city of Dresden in February, 1945 after the Allied bombing. Whole swathes of buildings are completely demolished, with rubble piled high throughout."". 
Now, answer the following question concisely: ""Who caused this destruction and why?  Were the people living here at the time participants in a war, or victims?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/376_tested_skill_history_knowledge_4842767989_2fa2b2973e_b.png,History Knowledge,,"A group of monks, wearing kasaya robes of saffron and orange, are sitting with many banners and blue mats in front of the UN building, peacefully praying and protesting the occupation of Tibet.","Who are these people, and what are they trying to accomplish?  How long has the situation existed?","These people are monks wearing kasaya robes of saffron and orange, and they are peacefully praying and protesting the occupation of Tibet in front of the UN building. The situation has existed since the Chinese occupation of Tibet in 1950.","Consider an image depicted by: ""A group of monks, wearing kasaya robes of saffron and orange, are sitting with many banners and blue mats in front of the UN building, peacefully praying and protesting the occupation of Tibet."". 
Now, answer the following question concisely: ""Who are these people, and what are they trying to accomplish?  How long has the situation existed?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/378_tested_skill_history_knowledge_56342295_67a12c7e87.png,History Knowledge,,"This is a black and white photograph of Rosa Parks sitting in front of a business man wearing a suit on a bus, looking out the window peacefully.",How did this woman's decision to sit here spark social change which still reverberates to this day?,"Rosa Parks' decision to sit in the front of the bus challenged racial segregation laws, leading to the Montgomery Bus Boycott and the eventual desegregation of public transportation, which became a pivotal moment in the Civil Rights Movement.","Consider an image depicted by: ""This is a black and white photograph of Rosa Parks sitting in front of a business man wearing a suit on a bus, looking out the window peacefully."". 
Now, answer the following question concisely: ""How did this woman's decision to sit here spark social change which still reverberates to this day?"". 
Answer: "
https://visit-instruction-tuning.s3.amazonaws.com/visit_images/383_tested_skill_cultural_knowledge_10737074284_826feae495_b.png,cultural knowledge,,"A person wearing a plaid kilt and playing bagpipes is standing outside of a blue door. The person is fully dressed in cultural attire including a black jacket, green tie, and plaid kilt.",Where is this person likely to be living?,This person is likely to be living in Scotland.,"Consider an image depicted by: ""A person wearing a plaid kilt and playing bagpipes is standing outside of a blue door. The person is fully dressed in cultural attire including a black jacket, green tie, and plaid kilt."". 
Now, answer the following question concisely: ""Where is this person likely to be living?"". 
Answer: "
