instruction_category,images,images_blip2_captions,instruction,reference_output
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/0_tested_skill_exercise_89b0d5485344588e.png""]","[""a woman doing yoga on a mat in a park""]",What is this exercise called and how is it good for you?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/1_tested_skill_exercise_03e18eb6b348927b.png""]","[""a group of people riding bikes on a track""]",Are the people shown here competing with each other? What do the gloves on the man's hands on the far left help him do better than the others?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/353_tested_skill_recognition_Washington_Monument_in_2017.png""]","[""clouds in the sky""]",What kind of exercise do I need to do before I can pose like the woman in this image?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/3_tested_skill_exercise_ac712b0eff62a4f4.png""]","[""a black and white photo of a gymnast on the rings""]",Would someone with only one arm be able to easily execute this maneuver?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/4_tested_skill_exercise_3905e9523ddbafc9.png""]","[""two women doing a yoga pose on a mat""]",What is this exercise for and what does it do for you?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/279_tested_skill_who_to_call_Iron_Maiden_046.png""]","[""a man in a red suit holding a british flag""]","Is it always necessary to remove the piece of clothing shown on the blanket, to be able to properly obtain and hold this position?",
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/6_tested_skill_exercise_464f3565913121a9.png""]","[""a black and white photo of a woman squatting with a barbell""]",What is the exercise for? Can she hold it for one hour?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/7_tested_skill_exercise_1088eaeb02e66fcd.png""]","[""a woman doing a squat exercise with ropes""]",What is the woman doing and what is she trying to accomplish by doing it?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/8_tested_skill_exercise_3cf11a3f8890607c.png""]","[""a man doing a handstand""]",What kind of exercise is this? Can a beginner do this?,
Exercise,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/300_tested_skill_tour_guide_800px-Faraglioni_capri_italy.png""]","[""capri, italy - capri, italy, capri, italy, capri, italy, ca""]",Based on commonly held beliefs about upper body strength in men and women which competitor is likely to win this competition.,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/10_tested_skill_gestures_understanding_40d317d2b084cb70.png""]","[""a grizzly bear sitting in the grass with its paws up""]",What is the animal doing? Is it safe to approach this animal while doing that?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/11_tested_skill_gestures_understanding_229e332b2b039a0f.png""]","[""a man punching another man in a gym""]",Does it seem like these men are being cordial with one another or are their gestures aggressive?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/295_tested_skill_solving_geometry_problems_Sphere_params.png""]","[""a diagram of a sphere with a line drawn through it""]",What is the point of the hands and what does it mean?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/13_tested_skill_gestures_understanding_9763b9e30b30519b.png""]","[""five wooden mannequins in a row""]","Why are the fingers on these hands positioned this way, and is there a reason that one hand is set apart from the others?",
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/14_tested_skill_gestures_understanding_600807d2231b5f3e.png""]","[""a woman with an apple logo painted on her face""]",Is the person shown here feeling upset about the mark on their face?  How would their mood likely change if someone offered them a free iPhone? What would their expression be if that happened?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/15_tested_skill_gestures_understanding_0c9b2d05c2f67c12.png""]","[""a one dollar bill with the face of a man""]",How does George Washington feel about what he is observing?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/306_tested_skill_tour_guide_Cabazon_Dinosaurs.png""]","[""a statue of a t - rex in front of a palm tree""]",What are these people doing and what does it mean and what is it for?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/17_tested_skill_gestures_understanding_0d2f8fae469b7c58.png""]","[""a person holding two small buttons in their hands""]",Which  hand gestures represent  pronouns in this picture?,
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/18_tested_skill_gestures_understanding_b7e133fbbda2fbb7.png""]","[""a blackboard on the wall""]","Are the people holding up their hands willing participants in an activity? If so, what's the activity and what type of music might accompany it?",
Gestures Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/19_tested_skill_gestures_understanding_bf9c1ddbe87e34a0.png""]","[""a red traffic light hanging from a wire""]",If a car is stopped at this traffic light how many directions can it potentially go when the light turns green?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/264_tested_skill_fashion_products_Wedding_rings.png""]","[""two wedding rings sitting on top of an open bible""]",What has caused this building to look like this and what was it built for?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/21_tested_skill_architectural_styles_0b11ea351b4693a0.png""]","[""a row of red telephone booths on a street in london""]",Tell me where I can find that telephone boxes and the story behind it.,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/22_tested_skill_architectural_styles_ae7db425aeb3eb70.png""]","[""the pagoda is red""]",What is this structure called and why does it have tiers?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/23_tested_skill_architectural_styles_81ec76d8803148c8.png""]","[""a tree house in the middle of a wooded area""]",What type of structure is this and what is it usually used for and who uses it?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/24_tested_skill_architectural_styles_bb85d007bf5dd116.png""]","[""a blue bird house with a rusty roof""]",What type of structure is this and what is it used for and what lives in it?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/25_tested_skill_architectural_styles_81de7fb54777db79.png""]","[""a black and white photo of a spiral staircase""]",Would someone with mobility issues appreciate this style of architecture?  Would it be easy to carry an armload of groceries to the top of this building?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/26_tested_skill_architectural_styles_88e824b0fc24aa99.png""]","[""an old wooden shack with a rusty roof""]",Would this house sell quickly in a buyer's market? What's the first thing the new owner might replace?,
Architectural Styles,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/27_tested_skill_architectural_styles_04e69733fd83aa83.png""]","[""a large stone house with a red roof""]",Identify the materials used for building the facade of this house?,
